id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
33039721,Couch St Condos 1BD 4,8534462,Pearl,45.523579999999995,-122.68138,Entire home/apt,190,30,2,316
33039753,Couch St Condos Studio 2,8534462,Pearl,45.52456,-122.67925,Entire home/apt,180,30,4,309
33039779,100 Walkscore Pearl District Condos 3BD 1,8534462,Pearl,45.524429999999995,-122.6807,Entire home/apt,400,30,7,296
33039799,Couch St Condos 3BD 2,8534462,Pearl,45.52347,-122.67983999999998,Entire home/apt,400,30,9,294
33039830,Couch St Condos 2BD 3,8534462,Pearl,45.52427,-122.68012,Entire home/apt,330,30,2,303
33039858,Couch St Condos Studio 3,8534462,Pearl,45.52341,-122.67943999999999,Entire home/apt,180,30,6,298
33039876,Couch St Condos 2BD 2,8534462,Pearl,45.52497,-122.68006000000001,Entire home/apt,330,30,4,307
33039906,Couch St Condos 1BD 11,8534462,Pearl,45.52346,-122.67997,Entire home/apt,190,30,1,309
33039932,Couch St Condos 1BD 12,8534462,Pearl,45.52467,-122.68066,Entire home/apt,190,30,0,303
33039957,Couch St Condos Studio 6,8534462,Pearl,45.52323,-122.67948,Entire home/apt,180,30,2,316
33039979,Couch St Condos Studio 5,8534462,Pearl,45.52462,-122.68113000000001,Entire home/apt,180,30,11,305
