id,name,host_id,host_name,neighborhood,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count,availability_365
1508371,Private room in Alberta District,7559960,Maria And Oliver,King,45.56030999419133,-122.66376445131245,Private room,68,232,2,0
197191,Home Near Alberta St & Williams St,960864,Naomi,King,45.552128834353894,-122.65933345166796,Entire home/apt,75,62,2,12
1213052,Alberta Arts Bungalow - 4 Bedroom,6621964,Amy,King,45.557128278715496,-122.65191415496456,Entire home/apt,285,60,1,331
598726,"Luxury, Comfort, Convenience, and Charm",2023418,Gary,King,45.56534163601822,-122.66265422445768,Entire home/apt,350,10,1,318
13222626,Alberta Master Suite with Attached Private Bath!,27447858,Christine,King,45.56193217616762,-122.65809341871801,Private room,65,6,2,0
13861751,"Queen bed, a few minutes' walk from Alberta St.!",62583178,Kristi,King,45.55562702241523,-122.6522760031999,Private room,60,30,3,85
8471437,Spacious Alberta Arts One Bedroom,13446236,Jack,King,45.56002445807679,-122.65364713386464,Entire home/apt,77,67,1,129
12886967,Bali Hotel in the Hip and Cool NEPO,27930414,Timothy,King,45.55234166264603,-122.66112117262868,Private room,80,55,6,365
967959,Authentic Alberta Arts Abode,1507209,Penelope,King,45.55805362509136,-122.65608033508732,Entire home/apt,125,284,1,355
15009177,Quaint Classic Portland Bungalow,94710352,Elizabeth,King,45.55432919724731,-122.66311210979666,Entire home/apt,76,23,1,86
11140218,"5 star, 2 bed, 2 bath pure Portland",8388263,Laurel,King,45.557336797296564,-122.65588584631791,Entire home/apt,99,38,1,335
1386231,Cozy Basement Alberta Arts Room,2236909,Shane,King,45.56265388005194,-122.65644872476294,Private room,39,46,6,121
6481776,Keep PDX Weird - Kid-friendly Inner NE Bungalow,27868709,Alanna,King,45.550593569131394,-122.65987162921043,Entire home/apt,214,36,2,360
15968185,A relaxed space in a fun & exciting part of town.,103713758,Beyond The MC,King,45.56462087220855,-122.65733258962496,Private room,59,0,1,365
3761821,Alberta Arts N.E; COZY DBL A/C & TV,2200710,Laurent,King,45.557845494577954,-122.66052079300007,Private room,34,230,3,51
13764693,Cozy basement room in prime location,62583178,Kristi,King,45.55660099731172,-122.65242726924535,Private room,80,19,3,360
1280182,alberta arts district - FUN!!,5993050,Jennyb,King,45.56187349053096,-122.65753814709734,Private room,95,8,1,365
2975954,Apartment in 1911 craftsman home,11551162,Jesse,King,45.55399503529375,-122.65585192749172,Entire home/apt,125,50,1,365
3369512,Alberta Arts District Craftsman ,795103,Bill,King,45.55880915285324,-122.6563621620238,Private room,69,23,1,365
4917544,Cute 2 bed- Williams & Alberta area,4273288,Shawna,King,45.5536008104253,-122.66452891052708,Entire home/apt,109,8,1,4
11716969,"Close in NE PDX 2 BD, 2-6 people",20313388,Nancy,King,45.55531596830059,-122.6630538935852,Entire home/apt,125,16,1,365
15101598,Basement Apartment with Kitchen & Washer / Dryer,4836856,Alison,King,45.556059662729616,-122.66055333907005,Entire home/apt,69,9,1,89
7367231,Beautiful Alberta Home sleeps 4-6,30415706,Mark & Kylee,King,45.5609369453157,-122.65461731911907,Entire home/apt,230,7,1,0
1673842,"Comfortable, Cozy n Private Studio",4833726,Dustin,King,45.56196911852262,-122.66428446570744,Entire home/apt,95,96,2,31
2231053,Cozy 2BD - walk to everything!,11387507,Ian,King,45.549646789012286,-122.65796058553136,Entire home/apt,99,7,1,1
715685,"#PDX Queen Size, Memory Foam & TV",2200710,Laurent,King,45.55871008130568,-122.65823118172071,Private room,40,274,3,54
15805556,Beautiful One Bedroom in the Heart of NE,1910051,Carrie,King,45.55225048706604,-122.66347856977072,Private room,37,0,1,87
2755808,Tranquil Garden Home- Alberta Arts District,14096665,Allison And David,King,45.556279321769466,-122.65577958978588,Entire home/apt,225,23,1,337
12955045,Bali Private  Suite in Hip and Cool NEPO,27930414,Timothy,King,45.55034081557243,-122.6610788733587,Private room,65,48,6,364
658883,Food Lovers Dream in Designer House,2458289,Emily And Adam,King,45.5496445478807,-122.66309775631056,Private room,88,112,2,362
14167600,Home in the Heart of Alberta Arts,85544403,Jennifer,King,45.56041197353324,-122.65866768119508,Entire home/apt,89,4,1,22
15027844,Creative Home in Alberta Arts,9149106,Nathan,King,45.55791533775428,-122.65416199139393,Private room,60,10,1,0
8670912,Alberta Arts,42524417,Ariel,King,45.556030338758404,-122.65259014542342,Private room,75,39,1,305
2502509,Cozy Urban Garden Home,3550200,Trisha,King,45.550328633082685,-122.66133530537468,Private room,50,92,1,61
946041,Cozy Alberta & Mississippi Suite,4405521,Lorraine & Ray,King,45.557123364967296,-122.66335483662114,Private room,60,124,1,353
7204779,"Alberta ZeN with Alberta ZinG - Suite, SwEEt!",963194,Carolyn,King,45.55853746084204,-122.65170491095327,Private room,92,8,3,268
9236579,"Newly furnished,quiet,near Alberta!",1886383,Eric,King,45.556301842420254,-122.65888481345712,Private room,49,7,2,0
9859285,Big House by Alberta,50747753,Jimena,King,45.559279797623184,-122.6553431650312,Entire home/apt,175,2,1,0
12292319,Chateau Plateau in the Alberta Arts,66253902,Jov,King,45.56059232984804,-122.65929475110191,Private room,59,35,1,32
7557383,Classic Bungalow Retreat- Inner NE,15744884,Sophie And Eric,King,45.56506808923396,-122.657162354305,Entire home/apt,145,10,1,10
12685691,Modern Garden Bungalow,803279,Nova,King,45.5485134499821,-122.65778421660816,Entire home/apt,170,7,1,90
13939204,"Beautiful house in NE Portland, near Alberta St.",62583178,Kristi,King,45.55704644639643,-122.65303048522972,Entire home/apt,250,14,3,233
4084311,"Convenient, Comfortable and Private",18861712,Ilana,King,45.565039567539465,-122.66409489534028,Private room,69,112,1,357
3289777,Portland Alberta Elegant 3bedsleep5,1317057,Tushar,King,45.55839911112072,-122.65263813831119,Entire home/apt,165,118,1,259
9884403,Alberta Arts Craftsman Beauty,40641216,Whitney,King,45.558343920283,-122.65094227275743,Private room,75,23,1,365
